batter,pitcher,events,zone,p_throws,type,balls,strikes,outs_when_up,inning,launch_speed,launch_angle,woba_value,pitch_number,pitch_name
547180,434378,strikeout,8,R,S,2,2,0,4,,,0,7,Slider
547180,686613,field_out,4,R,X,0,0,1,6,91.2,-30,0,1,Knuckle Curve
547180,519293,single,5,L,X,0,0,0,9,109.3,4,0.9,1,4-Seam Fastball
547180,434378,strikeout,14,R,S,3,2,0,1,,,0,6,Slider
547180,621121,strikeout,14,R,S,1,2,1,6,,,0,4,Knuckle Curve
547180,621121,single,8,R,X,3,2,0,4,100.6,20,0.9,9,Slider
547180,664353,field_out,9,R,X,0,2,0,8,64.1,-49,0,3,Curveball
547180,621121,field_out,13,R,X,1,2,1,1,91.4,24,0,4,Slider
547180,571578,single,9,L,X,0,1,2,4,94,-4,0.9,2,Sinker
547180,571578,field_out,4,L,X,0,1,1,3,89.6,50,0,2,Slider
547180,607179,field_out,7,R,X,1,0,0,6,101.5,26,0,2,4-Seam Fastball
547180,571578,field_out,12,L,X,0,1,1,1,88.9,26,0,2,Sinker
547180,676720,field_out,9,R,X,2,1,0,4,97.4,46,0,4,Slider
547180,434671,field_out,4,R,X,0,1,0,5,90.7,35,0,2,Changeup
547180,434671,field_out,4,R,X,1,0,2,3,100.6,8,0,2,Changeup
547180,640451,field_out,8,R,X,0,0,2,7,77,41,0,1,Split-Finger
547180,605218,field_out,4,R,X,1,1,2,8,91,30,0,3,Changeup
547180,541640,field_out,6,R,X,0,0,0,6,91.8,35,0,1,Cutter
547180,607200,field_out,3,R,X,1,0,1,5,92.9,-24,0,2,Cutter
547180,607200,single,2,R,X,1,2,2,3,94.7,-3,0.9,4,Cutter
547180,607179,field_out,8,R,X,3,1,1,7,103.2,38,0,5,Slider
547180,607200,field_out,7,R,X,0,0,1,1,101.3,-13,0,1,Sinker
547180,665871,single,14,R,X,0,1,0,6,66.1,21,0.9,2,Cutter
547180,665871,single,4,R,X,1,0,0,4,111.2,7,0.9,2,Changeup
547180,624522,strikeout,14,R,S,0,2,0,8,,,0,3,Curveball
547180,665871,single,9,R,X,1,1,2,1,95.3,21,0.9,3,4-Seam Fastball
547180,669713,field_out,7,R,X,0,1,0,5,59.1,-72,0,2,Changeup
547180,643410,field_out,7,R,X,1,0,0,7,85.4,4,0,2,Sinker
547180,676714,strikeout,13,L,S,0,2,0,9,,,0,3,Slider
547180,669713,field_out,4,R,X,0,1,2,1,79,-4,0,2,Sinker
547180,573186,double,8,R,X,0,1,2,6,98.8,29,1.25,2,Split-Finger
547180,573186,field_out,14,R,X,0,2,0,4,106.3,5,0,3,Sinker
547180,676714,single,7,L,X,0,0,0,9,83.7,16,0.9,1,4-Seam Fastball
547180,450203,field_out,14,R,X,1,1,1,3,57.7,11,0,3,Curveball
547180,669276,strikeout,12,L,S,0,2,2,7,,,0,3,4-Seam Fastball
547180,657140,home_run,8,R,X,3,2,1,6,108.3,27,2,6,Changeup
547180,657140,field_out,4,R,X,1,2,0,4,105.3,-1,0,6,Changeup
547180,621345,field_out,8,L,X,0,0,0,8,104.7,47,0,1,4-Seam Fastball
547180,543606,strikeout,11,R,S,0,2,1,4,,,0,4,Cutter
547180,543606,strikeout,11,R,S,2,2,1,1,,,0,5,Cutter
547180,608331,field_out,8,L,X,2,2,2,3,81.5,-42,0,5,Sinker
547180,608331,field_out,8,L,X,2,0,0,2,95.7,-27,0,3,Sinker
547180,621345,strikeout,14,L,S,2,2,1,8,,,0,8,Changeup
547180,669276,strikeout,13,L,S,0,2,0,6,,,0,4,4-Seam Fastball
547180,592332,field_out,7,R,X,0,0,2,5,94.3,-7,0,1,Split-Finger
547180,592332,field_out,4,R,X,0,2,0,4,89.2,-13,0,4,Split-Finger
547180,641835,strikeout,13,L,S,3,2,2,7,,,0,6,Sinker
547180,592332,strikeout,13,R,S,3,2,2,1,,,0,6,Split-Finger
547180,605447,field_out,5,R,X,2,2,0,9,105.4,-15,0,6,4-Seam Fastball
547180,548389,single,13,R,X,1,2,0,5,88.1,0,0.9,5,Changeup
547180,548389,single,4,R,X,0,0,1,4,89.1,11,0.9,1,Changeup
547180,641835,strikeout,7,L,S,3,2,2,7,,,0,6,Sinker
547180,548389,field_out,11,R,X,2,2,2,1,75.4,36,0,5,Changeup
547180,475479,field_out,7,R,X,1,1,0,9,79.6,78,0,3,Changeup
547180,675911,field_out,8,R,X,1,1,1,6,79.3,-2,0,3,Slider
547180,675911,field_out,5,R,X,0,2,2,3,100.1,57,0,3,Slider
547180,675911,strikeout,14,R,S,3,2,1,1,,,0,7,Slider
547180,621345,strikeout,12,L,S,2,2,1,8,,,0,5,4-Seam Fastball
547180,543606,double,8,R,X,2,2,1,4,93.7,-5,1.25,5,4-Seam Fastball
547180,543606,strikeout,3,R,S,2,2,2,1,,,0,7,Cutter
547180,669276,field_out,7,L,X,0,2,2,5,93.7,16,0,3,Slider
547180,621345,double,7,L,X,2,2,0,8,98.9,17,1.25,7,Cutter
547180,608331,strikeout,14,L,S,0,2,0,6,,,0,3,Sinker
547180,608331,strikeout,13,L,S,2,2,1,4,,,0,5,Curveball
547180,608331,field_out,6,L,X,1,1,2,1,79.7,-48,0,3,Sinker
547180,669276,field_out,1,L,X,0,0,1,8,95.7,-11,0,1,4-Seam Fastball
547180,641154,field_out,13,R,X,3,2,2,6,78.2,-4,0,6,Changeup
547180,656945,strikeout,1,L,S,3,2,2,8,,,0,7,4-Seam Fastball
547180,641154,field_out,8,R,X,0,0,2,1,99.8,25,0,1,Changeup
547180,665795,home_run,4,R,X,3,2,1,6,109.1,22,2,7,Changeup
547180,665795,strikeout,14,R,S,2,2,1,1,,,0,9,Curveball
547180,645261,single,13,R,X,0,0,0,6,39.8,-58,0.9,1,Changeup
547180,645261,field_out,5,R,X,1,2,0,4,103.3,-12,0,4,Sinker
547180,645261,field_out,7,R,X,0,0,1,1,91.7,23,0,1,Changeup
547180,667297,field_out,6,R,X,0,0,1,8,98.3,6,0,1,Sinker
547180,640451,field_out,5,R,X,2,2,2,6,104.9,-12,0,6,Split-Finger
547180,434671,double,4,R,X,0,0,1,1,108.7,17,1.25,1,Sinker
547180,607179,strikeout,14,R,S,2,2,0,3,,,0,5,Changeup
547180,607200,home_run,4,R,X,3,1,2,3,108.6,25,2,5,Changeup
547180,607179,strikeout,7,R,S,1,2,1,6,,,0,4,4-Seam Fastball
547180,676265,field_out,4,R,X,1,0,2,8,98.6,53,0,2,4-Seam Fastball
547180,645261,strikeout,7,R,S,3,2,2,5,,,0,6,Changeup
547180,645261,strikeout,11,R,S,1,2,0,4,,,0,4,4-Seam Fastball
547180,645261,strikeout,14,R,S,1,2,0,2,,,0,4,Changeup
547180,571670,field_out,7,R,X,1,0,2,8,85.4,35,0,2,Changeup
547180,669432,strikeout,9,L,S,0,2,1,6,,,0,3,Slider
547180,669432,strikeout,1,L,S,3,2,0,4,,,0,6,4-Seam Fastball
547180,669432,field_out,8,L,X,0,1,0,2,77.8,2,0,2,Slider
547180,666200,strikeout,13,L,S,2,2,2,6,,,0,7,Changeup
547180,666200,strikeout,3,L,S,2,2,1,4,,,0,7,Curveball
547180,666200,strikeout,12,L,S,2,2,0,2,,,0,5,Sinker
547180,667297,double,4,R,X,2,1,1,9,93.9,60,1.25,4,4-Seam Fastball
547180,607074,strikeout,11,L,S,2,2,0,6,,,0,6,4-Seam Fastball
547180,607074,strikeout,4,L,S,1,2,0,4,,,0,5,Slider
547180,607074,field_out,4,L,X,2,2,0,2,92.2,-8,0,5,Slider
547180,605154,single,2,R,X,1,1,1,8,79.9,57,0.9,3,4-Seam Fastball
547180,596001,single,2,R,X,1,1,1,3,94.2,2,0.9,3,Sinker
547180,502171,field_out,3,R,X,2,1,0,7,91.9,33,0,4,Sinker
547180,502171,field_out,11,R,X,0,0,2,1,84.8,24,0,1,Split-Finger
547180,670768,field_out,12,L,X,0,0,1,9,27.6,1,0,1,Eephus
547180,674072,single,11,L,X,1,2,0,3,102.2,-12,0.9,4,Curveball
547180,674072,strikeout,13,L,S,0,2,0,1,,,0,5,Curveball
547180,656464,single,8,R,X,0,1,0,6,44.4,-43,0.9,2,Slider
547180,666818,single,4,R,X,0,0,0,8,73.1,17,0.9,1,Slider
547180,668678,field_out,5,R,X,0,0,2,7,96.1,23,0,1,Changeup
547180,668678,field_out,3,R,X,1,1,2,4,97.3,2,0,3,Cutter
547180,668678,strikeout,13,R,S,2,2,0,2,,,0,5,Knuckle Curve
547180,518516,double,3,L,X,0,0,2,4,113.6,15,1.25,1,Cutter
547180,518516,field_out,8,L,X,1,2,0,3,78.8,-8,0,5,Changeup
547180,606625,field_out,12,R,X,2,2,1,9,59.9,-16,0,5,4-Seam Fastball
547180,518516,double,5,L,X,0,0,1,1,113,15,1.25,1,4-Seam Fastball
547180,672710,single,14,R,X,0,2,0,4,102.4,3,0.9,3,Slider
547180,672710,strikeout,11,R,S,0,2,2,1,,,0,3,4-Seam Fastball
547180,544365,field_out,11,L,X,2,2,0,6,84.2,-25,0,8,4-Seam Fastball
547180,640444,field_out,8,R,X,0,0,0,9,104,3,0,1,Changeup
547180,595881,single,8,R,X,0,0,1,1,94,10,0.9,1,Changeup
547180,608328,field_out,14,R,X,1,1,1,4,64.1,-33,0,3,Curveball
547180,605507,field_out,12,R,X,1,2,1,4,86.6,0,0,5,Cutter
