,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
23,FF,2022-10-01,92.9,-3.3,5.47,"Swanson, Dansby",621020,453286,home_run,hit_into_play,,,,,5,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,X,,fly_ball,3,2,2022,-0.73,1.37,0.15,2.57,,,660670.0,1,5,Bot,94.3,35.32,,,621512,,,10.401225896407038,-134.8418259765168,-4.618196315308511,-11.137669299643552,29.43353328544788,-14.55774141121958,3.55,1.68,432.0,107.7,29.0,92.6,2402.0,6.3,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.23,0.966,2.009,2.0,1.0,0.0,3.0,6.0,43,6,4-Seam Fastball,1,2,1,2,2,3,3,2,Standard,Standard,227.0,0.28,1.659
24,SL,2022-10-01,84.9,-3.29,5.49,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,B,,,2,2,2022,0.0,0.47,1.66,0.14,,,660670.0,1,5,Bot,,,,,621512,,,11.569110107216162,-123.0858636715962,-7.160265179914949,-1.9741256785558607,20.968198034854485,-26.216561502291743,3.5,1.63,,,,85.2,2409.0,6.4,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.14,,,,,,,,43,5,Slider,1,2,1,2,2,1,1,2,Standard,Standard,252.0,0.0,0.089
25,SL,2022-10-01,84.8,-3.26,5.47,"Swanson, Dansby",621020,453286,swinging_strike,swinging_strike,,,,,14,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,S,,,2,1,2022,0.2,0.43,0.93,1.48,,,660670.0,1,5,Bot,,,,,621512,,,9.407996306540351,-123.26383206709257,-3.9047051664635184,0.2714593042587717,22.78821641021307,-27.19510303472739,3.55,1.68,,,,85.0,2406.0,6.3,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.19,,,,,,,,43,4,Slider,1,2,1,2,2,1,1,2,Infield shift,Standard,189.0,0.0,-0.086
26,CH,2022-10-01,82.9,-3.46,5.55,"Swanson, Dansby",621020,453286,ball,ball,,,,,13,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,B,,,1,1,2022,-1.34,0.46,-1.48,2.39,,,660670.0,1,5,Bot,,,,,621512,,,7.162855118753399,-120.60741644144105,-1.664692920987214,-14.438410829757524,22.69135864046797,-27.52394902678171,3.46,1.61,,,,83.1,1225.0,6.4,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.14,,,,,,,,43,3,Changeup,1,2,1,2,2,1,1,2,Infield shift,Standard,248.0,0.0,0.073
27,SL,2022-10-01,84.6,-3.3,5.55,"Swanson, Dansby",621020,453286,swinging_strike,swinging_strike,,,,,14,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,S,,,1,0,2022,0.21,0.3,0.34,1.36,,,660670.0,1,5,Bot,,,,,621512,,,8.039008853083892,-122.96871686910906,-4.03974180553799,0.6344992849783451,22.33188104970671,-28.55832940233349,3.55,1.68,,,,84.5,2403.0,6.1,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.41,,,,,,,,43,2,Slider,1,2,1,2,2,1,1,2,Infield shift,Standard,163.0,0.0,-0.058
28,SL,2022-10-01,85.2,-3.35,5.42,"Swanson, Dansby",621020,453286,ball,ball,,,,,14,Dansby Swanson homers (24) on a fly ball to left center field.   Ronald Acuna Jr.  scores.,R,R,R,ATL,NYM,B,,,0,0,2022,0.22,0.17,0.83,1.14,,,660670.0,1,5,Bot,,,,,621512,,,9.3760778472621,-123.82662812880343,-4.0981458273440445,0.4549418283082001,23.55913866616389,-29.760299448411047,3.46,1.61,,,,85.3,2509.0,6.3,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.16,,,,,,,,43,1,Slider,1,2,1,2,2,1,1,2,Infield shift,Standard,186.0,0.0,0.042
29,FF,2022-10-01,95.2,-3.24,5.55,"Swanson, Dansby",621020,453286,single,hit_into_play,,,,,13,Dansby Swanson singles on a ground ball to shortstop Francisco Lindor.   Ronald Acuna Jr.  to 3rd.,R,R,R,ATL,NYM,X,6.0,ground_ball,0,1,2022,-1.07,1.06,-0.68,1.55,,,660670.0,2,3,Bot,99.76,150.46,,,621512,,,9.065103741715165,-138.1785135541431,-7.20004867819932,-15.722101915468862,29.77940812408542,-17.121820285081373,3.54,1.67,15.0,103.4,-5.0,94.8,2381.0,6.1,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.35,0.337,0.314,0.9,1.0,1.0,0.0,2.0,24,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard,230.0,0.031,0.323
30,SL,2022-10-01,83.8,-3.54,5.57,"Swanson, Dansby",621020,453286,swinging_strike,swinging_strike,,,,,5,Dansby Swanson singles on a ground ball to shortstop Francisco Lindor.   Ronald Acuna Jr.  to 3rd.,R,R,R,ATL,NYM,S,,,0,0,2022,0.29,-0.03,0.03,2.3,,,660670.0,2,3,Bot,,,,,621512,,,7.665785069497702,-121.8326879651416,-1.0865931344832769,1.3820853594542848,23.397556165805387,-32.46621293473089,3.54,1.67,,,,83.6,2310.0,6.2,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.32,,,,,,,,24,1,Slider,0,1,0,1,1,0,0,1,Infield shift,Standard,142.0,0.0,-0.035
33,CH,2022-10-01,85.4,-3.19,5.69,"Swanson, Dansby",621020,453286,field_out,hit_into_play,,,,,6,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,X,6.0,line_drive,3,2,2022,-1.16,0.3,0.44,2.54,,,,1,1,Bot,113.71,140.25,,,621512,,,10.872476891443124,-123.98277334705332,-1.7321252358334849,-14.057001997244033,23.229630168574705,-28.901175833542894,3.54,1.67,155.0,104.4,9.0,85.6,1388.0,6.4,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.11,0.754,0.722,0.0,1.0,0.0,0.0,4.0,8,6,Changeup,0,1,0,1,1,0,0,1,Standard,Standard,242.0,-0.017,-0.207
34,FF,2022-10-01,94.5,-3.2,5.83,"Swanson, Dansby",621020,453286,foul,foul,,,,,6,Dansby Swanson lines out sharply to shortstop Francisco Lindor.,R,R,R,ATL,NYM,S,,,3,1,2022,-0.62,1.42,0.31,2.39,,,,1,1,Bot,,,,,621512,,,10.485834230377112,-137.15088201326424,-6.394478979544349,-10.173777418506788,31.17808533823908,-12.93120359942951,3.54,1.67,12.0,54.6,-10.0,94.0,2459.0,6.2,661466,453286,621512,624413,643446,500871,596019,592192,607043,571980,54.29,,,,,,,,8,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shift,Standard,228.0,0.0,-0.049
